,Lost_Load 1,PV_Energy 1,Battery_Flow_Out 1,Battery_Flow_in 1,Curtailment 1,Energy_Demand 1,SOC 1,Gen energy 1,Diesel 1
2011-01-01 00:00:00,5.73462761614e-06,0.0,0.000194268035456,5.48193297131e-05,0.000396857368315,34.8,0.00105905353954,34.8030631082,0.0117300516037
2011-01-01 01:00:00,2.92347773933e-06,0.0,0.000157938447621,8.64319535712e-05,0.000390676550005,52.4,0.000974912897939,52.4037087756,0.017662186982
2011-01-01 02:00:00,4.35454651144e-06,0.0,0.000120949449595,0.000120742766032,0.000446341758988,73.7,0.00096230331557,73.7048300421,0.0248415335497
2011-01-01 03:00:00,6.12635141078e-06,0.0,9.62617701882e-05,0.000141482530689,0.000440654081302,83.1,0.000995383540579,83.1052618133,0.0280098624244
2011-01-01 04:00:00,7.72434381955e-06,0.0,8.0328705645e-05,0.000156413510522,0.000411801921175,88.5,0.00105941984332,88.5050897409,0.0298298246515
2011-01-01 05:00:00,9.61662411612e-06,0.0,4.55048899991e-05,0.00018620426529,0.000454129255814,92.0,0.00118841401113,92.0067305972,0.0310100204237
2011-01-01 06:00:00,3.39547150534,0.0,0.000136773868797,5.915007627e-05,1.69345525194e-05,96.7,0.00110063409012,93.304545901,0.0314474371085
2011-01-01 07:00:00,7.99543917055,0.0,0.000130630047508,5.09940075707e-05,1.3740629484e-05,101.3,0.00101157308414,93.3045492846,0.0314474382489
2011-01-01 08:00:00,10.7953315705,0.0,0.000199568766947,5.41623407043e-05,9.34889835946e-06,104.1,0.000852954921554,93.3045526854,0.0314474393951
2011-01-01 09:00:00,14.5953641296,0.0,0.000160404060464,4.83279691381e-05,1.02032952753e-05,107.9,0.000730020112799,93.3045525724,0.0314474393571
2011-01-01 10:00:00,10.4953524483,0.0,0.000157302874304,3.52999554884e-05,9.57864826034e-06,103.8,0.000597973097562,93.3045523771,0.0314474392912
2011-01-01 11:00:00,8.69540006349,0.0,0.0001514828472,5.06759667122e-05,1.27790287365e-05,102.0,0.000486659637307,93.3045505061,0.0314474386606
2011-01-01 12:00:00,5.79545065507,0.0,0.000131401877745,5.46445669959e-05,1.47510494344e-05,99.1,0.000400254209905,93.3045483827,0.031447437945
2011-01-01 13:00:00,1.3954534171,0.0,0.000154803228554,6.1413532973e-05,1.62987830947e-05,94.7,0.000295646299331,93.3045467151,0.0314474373829
2011-01-01 14:00:00,1.33728814364e-05,0.0,3.15923426745e-05,0.000208283035162,0.000464864796072,91.6,0.000460260085182,91.6095378507,0.0308761502699
2011-01-01 15:00:00,1.38127765893e-05,0.0,5.37075873209e-05,0.000182498840206,0.000516445868186,91.4,0.000577099680935,91.4090444663,0.0308085758228
2011-01-01 16:00:00,1.26814933307e-05,0.0,7.31333411991e-05,0.000164501152833,0.000524223171851,90.9,0.000656393311706,90.9090728907,0.030640065012
2011-01-01 17:00:00,1.06218574166e-05,0.0,8.97616017767e-05,0.000148094561291,0.000518219335618,90.2,0.000702597248326,90.2084347831,0.0304039213964
2011-01-01 18:00:00,9.8331643465e-06,0.0,9.84107236787e-05,0.00013941086133,0.000498371895773,90.5,0.000731447331138,90.5087827727,0.0305051509177
2011-01-01 19:00:00,1.01360674144e-05,0.0,0.00010570720459,0.000129415481965,0.000458819293769,89.0,0.000743121297332,89.0097546387,0.0299999173032
2011-01-01 20:00:00,1.06869888405e-05,0.0,0.00010835460686,0.000129287644375,0.000482254308011,89.8,0.000751887078583,89.8098660091,0.0302695874652
2011-01-01 21:00:00,1.12132866978e-05,0.0,0.000110189996579,0.00012672638238,0.000437586597656,88.9,0.00075628767176,88.9108533006,0.0299665835189
2011-01-01 22:00:00,1.03303969844e-05,0.0,0.00011431327157,0.000121985341648,0.000434783894832,86.2,0.000751843986779,86.2081235361,0.0290556533657
