,0
0,54790.6160000001
1,76130.48200000009
2,85650.45100000007
3,92965.41300000004
4,98235.39199999995
5,103110.38099999994
6,105900.3719999999
7,108925.35799999986
8,110930.35299999983
9,113235.34699999982
10,110540.33199999985
11,107070.32499999988
12,103860.3159999999
13,100965.31899999996
14,98355.32899999997
15,97940.32199999997
16,99170.30499999998
17,98330.303
18,97940.30799999999
19,98270.30599999998
20,94045.315
21,93635.31400000003
22,90410.31100000006
23,90185.31200000006
24,91095.30500000007
25,87945.29900000006
26,85065.30300000006
27,81930.30200000005
28,76750.30700000006
29,72660.30500000007
30,73250.30200000005
31,67250.30400000006
32,66900.29400000005
33,67510.28700000005
34,63205.28800000005
35,58550.28200000005
36,54915.28200000005
37,53575.27400000004
38,51510.27000000004
39,49840.27000000005
40,51500.26500000004
41,50130.269000000044
42,50890.27800000004
43,49650.27600000005
44,50175.281000000046
45,53125.275000000045
46,56475.27600000005
47,53665.28400000004
48,57670.28400000005
49,58970.28500000005
50,57425.28500000005
51,59570.29100000005
52,59335.28900000004
53,58095.28700000005
54,57650.29200000005
55,57095.28900000004
56,57500.28900000004
57,57230.290000000045
58,55870.288000000044
59,53965.28900000004
60,54105.29500000005
61,54985.29100000005
62,55190.29500000005
63,57005.296000000046
64,56895.29300000004
65,55150.29100000005
66,51200.298000000046
67,50695.298000000046
68,50070.296000000046
69,50995.30000000005
70,51135.29900000005
71,51530.29500000005
72,51060.29300000004
73,50305.30000000004
74,51300.29900000004
75,53360.29500000004
76,55050.29200000004
77,55255.298000000046
78,56165.29900000004
79,56580.30400000005
80,56595.30800000005
81,55435.309000000045
82,54865.30800000005
83,52445.30800000005
84,51140.313000000046
85,50575.319000000054
86,53135.324000000044
87,54340.32300000005
88,53970.32200000005
89,53550.32000000005
90,55585.32100000005
91,56520.32300000005
92,59235.32400000005
93,59935.323000000055
94,60175.32200000005
95,61215.32400000006
96,58150.32400000006
97,57880.327000000056
98,58540.327000000056
99,57730.33000000005
100,55635.327000000056
101,57585.32500000005
102,57910.32700000005
103,57835.32200000005
104,58610.31900000005
105,57720.31900000004
106,56675.31900000004
107,57960.31900000005
108,58390.31600000005
109,58640.31900000005
110,57395.33400000005
111,56380.33300000006
112,55240.33100000005
113,55910.32500000005
114,55775.32900000005
115,52740.33300000005
116,53430.336000000054
117,52255.33200000005
118,49665.32800000006
119,50415.32500000005
120,50570.323000000055
121,51490.327000000056
122,51645.33000000005
123,52750.33200000006
124,53775.33100000005
125,55890.329000000056
126,56470.32600000005
127,56175.33400000005
128,58915.33700000005
129,59860.34400000006
130,57880.346000000056
131,58675.34500000005
132,57315.34500000005
133,57235.34700000006
134,57365.35200000006
135,57500.357000000055
136,59720.356000000065
137,62030.35400000006
138,61930.353000000054
139,61880.35600000006
140,62530.357000000055
141,58590.35600000006
142,56940.357000000055
143,56235.361000000055
144,56075.359000000055
145,54210.35800000005
146,52830.361000000055
147,51455.36400000006
148,47560.36000000005
149,46635.353000000054
150,49125.34900000005
151,50795.340000000055
152,51045.340000000055
153,52175.34500000005
154,51890.34500000005
155,54345.34700000005
156,55540.35000000005
157,54185.34700000005
158,55585.348000000056
159,56190.353000000054
160,54645.35100000005
161,56180.35600000006
162,57310.35200000006
163,59105.35400000006
164,61450.348000000056
165,63170.34600000006
166,65160.338000000054
167,65380.34000000006
168,65895.33900000007
169,65305.34100000006
170,65100.338000000054
171,60485.333000000064
172,58880.33300000006
173,56500.340000000055
174,55530.33400000005
175,51550.33100000006
176,51385.33100000006
177,52445.33000000005
178,51700.32400000005
179,52385.327000000056
180,53560.32000000006
181,54480.319000000054
182,54635.317000000054
183,54400.31300000005
184,56125.309000000045
185,57970.31100000005
186,57575.31200000005
187,57985.30700000005
188,59115.30600000005
189,59135.30600000005
190,56900.31200000005
191,56635.30800000005
192,56820.30800000005
193,57630.30900000005
194,59060.30700000005
195,60155.31000000005
196,60290.31100000005
197,62075.31000000005
198,62160.313000000046
199,62815.32000000005
200,64560.323000000055
201,62095.32100000005
202,62425.32100000005
203,61730.31800000005
204,59640.31800000005
205,56580.31700000005
206,55545.31400000005
207,54320.31400000006
208,53185.308000000055
209,52595.308000000055
210,52765.30600000005
211,55410.30400000005
212,54190.30600000005
213,55090.30600000005
214,54900.30600000005
215,55825.31000000005
216,56980.31400000005
217,56400.31400000005
218,56875.32400000005
219,54320.32600000005
220,52975.328000000045
221,53080.32500000005
222,54805.32100000005
223,56315.31600000004
224,57270.31800000005
225,58375.31300000005
226,59175.31100000005
227,58280.313000000046
228,58350.31800000005
229,60165.31700000005
230,60630.31600000004
231,59465.32100000005
232,58755.32100000005
233,55215.322000000044
234,58035.32200000005
235,57350.322000000044
236,56870.328000000045
237,55865.33800000005
238,53535.33500000005
239,55450.332000000046
240,53230.32700000005
241,54250.33300000005
242,55520.33300000005
243,55545.332000000046
244,54230.326000000045
245,56905.32300000005
246,56415.32800000005
247,55720.32900000005
248,55795.32700000005
249,53255.33100000005
250,53565.32900000005
251,51030.33000000005
252,49345.32900000005
253,51505.32700000005
254,51285.327000000056
255,52665.327000000056
256,51930.32900000005
257,52295.32900000005
258,54375.33300000005
259,55380.32900000005
260,55555.32900000005
261,55510.32800000006
262,54510.325000000055
263,51370.327000000056
264,52590.321000000054
265,50390.32400000006
266,51535.32900000005
267,51345.33100000006
268,48445.33500000006
269,49285.33500000006
270,47170.33200000005
271,48215.33600000005
272,50140.33500000004
273,50515.33300000005
274,49890.33400000005
275,51010.33000000005
276,51615.327000000056
277,52165.33000000005
278,52555.32200000005
279,51920.31800000004
280,51610.31400000005
281,52530.31500000004
282,51955.31600000004
283,52910.32000000004
284,53750.32100000005
285,54365.322000000044
286,52710.32500000005
287,52460.32200000005
288,53500.31600000004
289,53030.31200000004
290,54240.313000000046
291,53285.319000000054
292,53605.311000000045
293,49775.31000000005
294,50180.31200000004
295,47575.31200000004
296,47220.31800000005
297,47470.31700000005
298,45600.313000000046
299,45500.31600000004
300,43725.313000000046
301,43405.31500000005
302,44270.31400000005
303,44300.31200000004
304,43070.30800000004
305,44745.30700000005
306,44610.30600000005
307,43965.30600000005
308,44135.305000000044
309,45100.292000000045
310,43680.29300000004
311,44065.290000000045
312,42905.28900000004
313,42670.28500000004
314,43865.28100000004
315,43700.28300000004
316,43605.27300000004
317,42635.275000000045
318,43975.27100000004
319,43970.27200000003
320,45760.27200000003
321,44800.26900000004
322,43480.26900000004
323,42770.27200000003
324,42855.27400000004
325,40295.276000000034
326,40665.28100000004
327,40740.27500000004
328,38790.276000000034
329,37185.28300000005
330,37150.27400000004
331,37795.27000000004
332,38960.26800000003
333,38670.27300000004
334,36810.27000000004
335,38210.27300000004
336,37815.26900000004
337,37935.27800000004
338,38855.28300000004
339,39255.28200000004
340,38480.27700000004
341,40000.26900000004
342,40645.265000000036
343,41695.263000000035
344,43485.26600000004
345,43850.261000000035
346,43930.259000000035
347,43340.26000000003
348,44715.25800000004
349,45935.255000000034
350,46785.257000000034
351,45785.257000000034
352,44555.25100000003
353,43950.25000000004
354,43675.25000000004
355,42115.246000000036
356,42590.242000000035
357,43485.238000000034
358,39965.238000000034
359,40055.23300000003
360,39530.23700000003
361,38710.24100000003
362,39135.23400000003
363,39445.238000000034
364,38860.23700000003
365,41400.242000000035
366,41335.236000000026
367,41795.23500000003
368,43205.23300000003
369,42350.22700000003
370,41600.23100000003
371,42950.23200000003
372,43525.23100000003
373,43845.231000000036
374,46275.22700000003
375,46570.23100000003
376,46585.23400000003
377,46240.23000000003
378,47755.22900000003
379,48710.23300000003
380,49940.232000000025
381,48540.23500000003
382,48840.236000000026
383,47645.238000000034
384,46275.24000000003
385,43590.24700000004
386,44925.25200000004
387,46450.25000000004
388,45060.25000000004
389,45145.25200000003
390,44690.25800000004
391,44492.25300000005
392,44817.25900000004
393,45317.26500000004
394,46527.26700000004
395,46587.27800000005
396,44982.28400000004
397,46972.288000000044
398,48887.296000000046
399,47427.30300000005
400,46707.30500000005
401,48014.31200000005
402,45224.332000000046
403,45344.34200000005
404,49199.34200000006
405,50804.34600000005
406,52004.348000000056
407,52611.35000000006
408,53451.35600000006
409,53986.35700000006
410,57866.36600000006
411,56392.45246835856
412,56477.46146835857
413,54538.384000000064
414,52915.39000000007
415,50602.39700000007
416,48922.40600000007
417,53372.40100000007
418,50792.40600000006
419,50192.41400000006
420,48815.42100000007
421,48437.42500000006
422,48279.430000000066
423,47781.43400000006
424,47766.44100000006
425,48887.447000000066
426,49430.45900000007
427,49802.46300000007
428,53182.46300000007
429,52374.46700000007
430,51581.47800000007
431,53886.48700000006
432,56626.485000000066
433,56195.48800000006
434,58302.491000000075
435,60662.495000000075
436,62797.50100000007
437,63902.51200000007
438,64194.42570791605
439,64674.43270791605
440,63131.43970791605
441,65231.45070791606
442,66858.45870791607
443,64152.45970791606
444,62094.45870791605
445,58312.42695759929
446,60956.42395759929
447,62251.42395759929
448,57853.55700000008
449,62206.553000000094
450,60003.5620000001
451,55093.56400000009
452,57723.5740000001
453,54668.5850000001
454,60833.5810000001
455,62987.5850000001
456,64831.5860000001
457,62186.6010000001
458,65157.448003913974
459,71980.76026485274
460,69327.92426093889
461,70624.92326093889
462,71544.92426093886
463,69481.92926093886
464,69110.62200000009
465,68277.62100000012
466,67139.62400000011
467,75867.6210000001
468,76984.6260000001
469,73936.6260000001
470,74210.63100000011
471,74007.6330000001
472,73844.6340000001
473,71333.6360000001
474,76790.6250000001
475,70560.6360000001
476,72022.63800000011
477,70242.6410000001
478,69638.64300000011
479,70194.64800000012
480,65078.65400000011
481,66293.6550000001
482,73258.93223077052
483,79220.93223077052
484,79949.47088076406
485,83158.19564999365
486,83380.19464999365
487,83180.20064999364
488,70541.20264999365
