,0
0,40550.5880000001
1,53800.48700000008
2,62265.43100000008
3,66715.40200000007
4,72390.38100000004
5,78990.35299999997
6,81420.34299999994
7,84980.33999999988
8,89015.33799999984
9,91490.3319999998
10,86960.33499999986
11,83900.3289999999
12,82485.32299999993
13,81695.31899999994
14,80130.31299999997
15,80550.29899999997
16,77895.299
17,74705.29700000002
18,72505.30300000003
19,69145.30700000002
20,86010.30900000002
21,85910.30700000004
22,85800.30200000004
23,83490.31100000006
24,82950.30800000003
25,84340.30000000005
26,85030.29800000005
27,83070.29400000004
28,81435.28600000004
29,77730.29000000005
30,74290.28800000006
31,72920.29300000005
32,67940.30100000005
33,64055.29500000005
34,62085.29700000006
35,61095.29500000005
36,57385.294000000045
37,55755.29300000005
38,55295.290000000045
39,54010.29100000005
40,53110.286000000044
41,51040.28500000004
42,52050.28400000004
43,51725.292000000045
44,50090.29100000005
45,49500.298000000046
46,47620.30600000004
47,46550.30000000004
48,47290.30100000004
49,47090.30000000005
50,46785.298000000046
51,47520.296000000046
52,46395.294000000045
53,45745.29700000004
54,47515.298000000046
55,49490.294000000045
56,51730.29100000005
57,53240.28800000005
58,53670.294000000045
59,53440.30100000004
60,57040.29700000004
61,56180.298000000046
62,56270.305000000044
63,58130.30000000005
64,58355.30700000005
65,55755.30200000005
66,55490.30100000004
67,54575.30300000005
68,53060.30000000005
69,55340.300000000054
70,53970.29700000006
71,54635.29300000005
72,55590.290000000045
73,53840.288000000044
74,50890.292000000045
75,51165.29500000005
76,51000.29500000004
77,51230.29600000004
78,51110.29700000004
79,48260.30000000004
80,46705.30000000005
81,48930.296000000046
82,50450.29500000005
83,49440.30400000005
84,52965.30700000005
85,53430.30600000005
86,53855.311000000045
87,54710.31000000005
88,54435.31100000005
89,56030.313000000046
90,56760.31300000005
91,54350.312000000056
92,54895.312000000056
93,55220.31000000005
94,54295.31300000005
95,52860.317000000054
96,52715.32400000005
97,51250.32800000005
98,52565.325000000055
99,53795.323000000055
100,53005.327000000056
101,52825.32600000005
102,52795.32100000005
103,53410.32600000005
104,53595.32500000005
105,54305.33100000005
106,52625.32900000005
107,53870.33000000005
108,53100.327000000056
109,52410.32400000005
110,50760.32400000005
111,53060.33400000005
112,52625.33100000006
113,53675.33100000006
114,54270.327000000056
115,55065.327000000056
116,56240.32800000005
117,55450.33200000005
118,55995.33100000005
119,55415.33100000005
120,59170.33300000005
121,56580.33100000006
122,56070.33000000005
123,54075.33100000006
124,53880.33300000005
125,52005.336000000054
126,52300.336000000054
127,51645.34500000006
128,52165.34300000006
129,53425.33600000006
130,51145.33400000005
131,52685.33600000006
132,54175.33900000006
133,57560.33000000006
134,56390.329000000056
135,57215.33000000006
136,56060.33100000006
137,58265.32800000006
138,58480.32900000006
139,60035.32800000005
140,58690.33000000005
141,60110.33300000006
142,57950.338000000054
143,57300.32700000005
144,57700.338000000054
145,58310.33400000005
146,58935.33200000005
147,56775.338000000054
