,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption
2017-01-01 00:00:00,34.831,0.0,0.0,9.438,0.0,0.0,0.0,44.269000000000005,0.2499378952122855
2017-01-01 00:01:00,52.355,0.0,0.0,24.333,0.0,0.0,0.0,76.68799999999999,0.4329719963866305
2017-01-01 00:02:00,73.675,0.0,0.0,24.333,0.0,0.0,0.0,98.008,0.5533423667570009
2017-01-01 00:03:00,83.1,0.0,0.0,30.503,0.0,0.0,0.0,113.603,0.6413900180668473
2017-01-01 00:04:00,88.47,0.0,0.0,33.341,0.0,0.0,0.0,121.811,0.6877314814814816
2017-01-01 00:05:00,91.985,0.0,0.0,18.447,0.0,0.0,0.0,110.432,0.6234869015356821
2017-01-01 00:06:00,96.655,0.0,0.0,9.438,0.0,0.0,0.0,106.093,0.5989893857271906
2017-01-01 00:07:00,101.25,0.0,0.0,8.719,0.0,0.0,0.0,109.969,0.6208728545618789
2017-01-01 00:08:00,104.07,0.0,0.0,6.453,0.0,0.0,0.0,110.523,0.624000677506775
2017-01-01 00:09:00,107.93,0.0,0.0,8.55,0.0,0.0,0.0,116.48,0.6576332429990966
2017-01-01 00:10:00,103.835,0.0,0.0,37.694,0.0,0.0,0.0,141.529,0.7990571364046973
2017-01-01 00:11:00,101.965,0.0,0.0,37.694,0.0,0.0,0.0,139.659,0.7884993224932249
2017-01-01 00:12:00,99.105,0.0,0.0,29.144,0.0,0.0,0.0,128.249,0.7240797199638663
2017-01-01 00:13:00,94.68,0.0,0.0,14.488,0.0,0.0,0.0,109.168,0.6163504968383018
2017-01-01 00:14:00,91.585,0.0,0.0,19.752,0.0,0.0,0.0,111.33699999999999,0.6285964317976512
2017-01-01 00:15:00,91.38,0.0,0.0,19.752,0.0,0.0,0.0,111.13199999999999,0.6274390243902439
2017-01-01 00:16:00,90.895,0.0,0.0,31.038,0.0,0.0,0.0,121.93299999999999,0.6884202800361336
2017-01-01 00:17:00,90.235,0.0,0.0,14.488,0.0,0.0,0.0,104.723,0.5912545167118338
2017-01-01 00:18:00,90.545,0.0,0.0,21.581,0.0,0.0,0.0,112.126,0.6330510388437218
2017-01-01 00:19:00,89.035,0.0,0.0,21.581,0.0,0.0,0.0,110.616,0.6245257452574525
2017-01-01 00:20:00,89.815,0.0,0.0,16.883,0.0,0.0,0.0,106.698,0.6024051490514905
2017-01-01 00:21:00,88.925,0.0,0.0,16.883,0.0,0.0,0.0,105.80799999999999,0.5973803071364047
2017-01-01 00:22:00,86.23,0.0,0.0,7.377,0.0,0.0,0.0,93.607,0.5284948057813912
2017-01-01 00:23:00,85.42,0.0,0.0,20.292,0.0,0.0,0.0,105.712,0.5968383017163505
2017-01-01 00:24:00,86.43,0.0,0.0,30.079,0.0,0.0,0.0,116.50900000000001,0.6577969738030714
2017-01-01 00:25:00,87.085,0.0,0.0,30.079,0.0,0.0,0.0,117.164,0.6614950316169829
2017-01-01 00:26:00,84.085,0.0,0.0,19.942,0.0,0.0,0.0,104.02699999999999,0.5873249774164407
2017-01-01 00:27:00,82.35,0.0,0.0,34.92,0.0,0.0,0.0,117.27,0.6620934959349594
2017-01-01 00:28:00,78.97,0.0,0.0,29.958,0.0,0.0,0.0,108.928,0.6149954832881662
2017-01-01 00:29:00,78.465,0.0,0.0,44.152,0.0,0.0,0.0,122.617,0.6922820686540199
