,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-07 00:00:00,0.0,0.0,0.0,0.0
2017-01-07 00:01:00,0.0,0.0,0.0,0.0
2017-01-07 00:02:00,0.0,0.0,0.0,0.0
2017-01-07 00:03:00,0.0,0.0,0.0,0.0
2017-01-07 00:04:00,0.0,0.0,0.0,0.0
2017-01-07 00:05:00,0.0,0.0,0.0,0.0
2017-01-07 00:06:00,0.0,0.0,0.0,0.0
2017-01-07 00:07:00,0.0,0.0,0.0,0.0
2017-01-07 00:08:00,0.0,0.0,0.0,0.0
2017-01-07 00:09:00,0.0,0.0,0.0,0.0
2017-01-07 00:10:00,0.0,0.0,0.0,0.0
2017-01-07 00:11:00,0.0,0.0,0.0,0.0
2017-01-07 00:12:00,0.0,0.0,0.0,0.0
2017-01-07 00:13:00,0.0,0.0,0.0,0.0
2017-01-07 00:14:00,0.0,0.0,0.0,0.0
2017-01-07 00:15:00,0.0,0.0,0.0,0.0
2017-01-07 00:16:00,0.0,0.0,0.0,0.0
2017-01-07 00:17:00,0.0,0.0,0.0,0.0
2017-01-07 00:18:00,0.0,0.0,0.0,0.0
2017-01-07 00:19:00,0.0,0.0,0.0,0.0
2017-01-07 00:20:00,0.0,0.0,0.0,0.0
2017-01-07 00:21:00,0.0,0.0,0.0,0.0
2017-01-07 00:22:00,0.0,0.0,0.0,0.0
2017-01-07 00:23:00,0.0,0.0,0.0,0.0
2017-01-07 00:24:00,9.787,7.04800662430804e-07,9.787119938606768,0.0001206434074294549
2017-01-07 00:25:00,9.787,7.047782102911421e-07,9.787119994163373,0.00012069894158273087
2017-01-07 00:26:00,0.0,0.0,0.0,0.0
2017-01-07 00:27:00,0.0,0.0,0.0,0.0
2017-01-07 00:28:00,0.0,0.0,0.0,0.0
2017-01-07 00:29:00,0.0,0.0,0.0,0.0
2017-01-07 00:30:00,0.0,0.0,0.0,0.0
2017-01-07 00:31:00,0.0,0.0,0.0,0.0
2017-01-07 00:32:00,0.0,0.0,0.0,0.0
2017-01-07 00:33:00,0.0,0.0,0.0,0.0
2017-01-07 00:34:00,0.0,0.0,0.0,0.0
2017-01-07 00:35:00,0.0,0.0,0.0,0.0
2017-01-07 00:36:00,0.0,0.0,0.0,0.0
2017-01-07 00:37:00,0.0,0.0,0.0,0.0
2017-01-07 00:38:00,0.0,0.0,0.0,0.0
2017-01-07 00:39:00,0.0,0.0,0.0,0.0
2017-01-07 00:40:00,0.0,0.0,0.0,0.0
2017-01-07 00:41:00,14.788,7.035251488163969e-07,14.788151189789051,0.00015189331420017993
2017-01-07 00:42:00,14.788,7.035939203838985e-07,14.78814932706867,0.00015003066259033915
2017-01-07 00:43:00,25.892,7.028491798753239e-07,25.892149289070826,0.00014999192000786365
2017-01-07 00:44:00,11.104,7.043885098468645e-07,11.104124527235763,0.0001252316242741358
2017-01-07 00:45:00,11.104,7.044020211544971e-07,11.104124499499212,0.00012520390123427205
2017-01-07 00:46:00,11.104,7.043835250656135e-07,11.104124812659911,0.00012551704343799486
2017-01-07 00:47:00,11.104,7.044352326709199e-07,11.104124225161904,0.00012492959713661378
2017-01-07 00:48:00,11.104,7.045195462192775e-07,11.104122774961242,0.00012347948078961224
2017-01-07 00:49:00,11.104,7.044713691006381e-07,11.104123858960298,0.00012456343166711292
2017-01-07 00:50:00,11.104,7.044812251358427e-07,11.104123867277682,0.0001245717589082318
2017-01-07 00:51:00,0.0,0.0,0.0,0.0
2017-01-07 00:52:00,0.0,0.0,0.0,0.0
2017-01-07 00:53:00,0.0,0.0,0.0,0.0
2017-01-07 00:54:00,0.0,0.0,0.0,0.0
2017-01-07 00:55:00,8.253,7.058364268103419e-07,8.25310000403174,0.00010070986816757
2017-01-07 00:56:00,8.253,7.057909902993023e-07,8.253100836211663,0.00010154200265333202
2017-01-07 00:57:00,8.253,7.058137496832387e-07,8.253100636115734,0.00010134192948463294
2017-01-07 00:58:00,8.253,7.058428871430718e-07,8.253100357759267,0.0001010636021536726
2017-01-07 00:59:00,8.253,7.057336472336223e-07,8.25310189976706,0.00010260550070739782
2017-01-07 01:00:00,8.253,7.05762649832068e-07,8.253101640148172,0.00010234591082181055
2017-01-07 01:01:00,8.253,7.057793781049284e-07,8.253101539350352,0.0001022451297298943
2017-01-07 01:02:00,8.253,7.058278693056072e-07,8.253101066316699,0.00010177214456774664
2017-01-07 01:03:00,8.253,7.057761586054458e-07,8.253101687471778,0.00010239324793737126
2017-01-07 01:04:00,0.0,0.0,0.0,0.0
2017-01-07 01:05:00,0.0,0.0,0.0,0.0
2017-01-07 01:06:00,0.0,0.0,0.0,0.0
2017-01-07 01:07:00,0.0,0.0,0.0,0.0
2017-01-07 01:08:00,0.0,0.0,0.0,0.0
2017-01-07 01:09:00,0.0,0.0,0.0,0.0
2017-01-07 01:10:00,0.0,0.0,0.0,0.0
2017-01-07 01:11:00,0.0,0.0,0.0,0.0
2017-01-07 01:12:00,0.0,0.0,0.0,0.0
2017-01-07 01:13:00,0.0,0.0,0.0,0.0
2017-01-07 01:14:00,0.0,0.0,0.0,0.0
2017-01-07 01:15:00,0.0,0.0,0.0,0.0
2017-01-07 01:16:00,0.0,0.0,0.0,0.0
2017-01-07 01:17:00,0.0,0.0,0.0,0.0
2017-01-07 01:18:00,0.0,0.0,0.0,0.0
2017-01-07 01:19:00,0.0,0.0,0.0,0.0
2017-01-07 01:20:00,0.0,0.0,0.0,0.0
2017-01-07 01:21:00,0.0,0.0,0.0,0.0
2017-01-07 01:22:00,0.0,0.0,0.0,0.0
2017-01-07 01:23:00,0.0,0.0,0.0,0.0
2017-01-07 01:24:00,0.0,0.0,0.0,0.0
2017-01-07 01:25:00,0.0,0.0,0.0,0.0
2017-01-07 01:26:00,0.0,0.0,0.0,0.0
2017-01-07 01:27:00,0.0,0.0,0.0,0.0
2017-01-07 01:28:00,0.0,0.0,0.0,0.0
